# r_kpc Te_kev_m100 Te_kev_m10
1.0000 1.87415e-01 1.79457e-01
7.1020 1.67248e-01 1.54054e-01
13.2041 1.56995e-01 1.41589e-01
19.3061 1.49386e-01 1.32432e-01
25.4082 1.43138e-01 1.24949e-01
31.5102 1.37758e-01 1.18519e-01
37.6122 1.32975e-01 1.12810e-01
43.7143 1.28648e-01 1.07646e-01
49.8163 1.24673e-01 1.02900e-01
55.9184 1.20982e-01 9.84918e-02
62.0204 1.17554e-01 9.43812e-02
68.1224 1.14556e-01 9.06698e-02
74.2245 1.11962e-01 8.73258e-02
80.3265 1.09712e-01 8.42954e-02
86.4286 1.07759e-01 8.15363e-02
92.5306 1.06066e-01 7.90146e-02
98.6327 1.04603e-01 7.67024e-02
104.7347 1.03343e-01 7.45759e-02
110.8367 1.02266e-01 7.26152e-02
116.9388 1.01351e-01 7.08020e-02
123.0408 1.00579e-01 6.91195e-02
129.1429 9.99330e-02 6.75527e-02
135.2449 9.93967e-02 6.60887e-02
141.3469 9.89569e-02 6.47160e-02
147.4490 9.86016e-02 6.34248e-02
153.5510 9.83200e-02 6.22062e-02
159.6531 9.81030e-02 6.10526e-02
165.7551 9.79422e-02 5.99574e-02
171.8571 9.78296e-02 5.89143e-02
177.9592 9.77551e-02 5.79163e-02
184.0612 9.77089e-02 5.69569e-02
190.1633 9.76823e-02 5.60305e-02
196.2653 9.76679e-02 5.51320e-02
202.3673 9.76588e-02 5.42574e-02
208.4694 9.76494e-02 5.34030e-02
214.5714 9.76344e-02 5.25657e-02
220.6735 9.76095e-02 5.17429e-02
226.7755 9.75705e-02 5.09321e-02
232.8776 9.75146e-02 5.01317e-02
238.9796 9.74425e-02 4.93416e-02
245.0816 9.73557e-02 4.85620e-02
251.1837 9.72559e-02 4.77934e-02
257.2857 9.71445e-02 4.70358e-02
263.3878 9.70226e-02 4.62895e-02
269.4898 9.68915e-02 4.55545e-02
275.5918 9.67523e-02 4.48310e-02
281.6939 9.66058e-02 4.41188e-02
287.7959 9.64529e-02 4.34180e-02
293.8980 9.62944e-02 4.27285e-02
300.0000 9.61311e-02 4.20503e-02
