# r_kpc ne_cc_m100 ne_cc_m10
1.0000 1.57322e-03 1.42386e-02
7.1020 1.84361e-04 1.50572e-03
13.2041 8.95669e-05 6.92507e-04
19.3061 5.65642e-05 4.18946e-04
25.4082 4.01382e-05 2.86420e-04
31.5102 3.04435e-05 2.10004e-04
37.6122 2.41071e-05 1.61099e-04
43.7143 1.96778e-05 1.27573e-04
49.8163 1.64272e-05 1.03416e-04
55.9184 1.39531e-05 8.53510e-05
62.0204 1.20134e-05 7.14314e-05
68.1224 1.04432e-05 6.03860e-05
74.2245 9.15337e-06 5.14915e-05
80.3265 8.08287e-06 4.42504e-05
86.4286 7.18602e-06 3.82964e-05
92.5306 6.42814e-06 3.33563e-05
98.6327 5.78264e-06 2.92237e-05
104.7347 5.22886e-06 2.57406e-05
110.8367 4.75064e-06 2.27849e-05
116.9388 4.33520e-06 2.02611e-05
123.0408 3.97240e-06 1.80942e-05
129.1429 3.65402e-06 1.62241e-05
135.2449 3.37336e-06 1.46023e-05
141.3469 3.12490e-06 1.31896e-05
147.4490 2.90407e-06 1.19538e-05
153.5510 2.70706e-06 1.08683e-05
159.6531 2.53067e-06 9.91135e-06
165.7551 2.37222e-06 9.06458e-06
171.8571 2.22944e-06 8.31280e-06
177.9592 2.10046e-06 7.64340e-06
184.0612 1.98369e-06 7.04571e-06
190.1633 1.87775e-06 6.51059e-06
196.2653 1.78142e-06 6.03024e-06
202.3673 1.69365e-06 5.59793e-06
208.4694 1.61352e-06 5.20786e-06
214.5714 1.54023e-06 4.85504e-06
220.6735 1.47306e-06 4.53516e-06
226.7755 1.41140e-06 4.24445e-06
232.8776 1.35470e-06 3.97965e-06
238.9796 1.30242e-06 3.73778e-06
245.0816 1.25408e-06 3.51628e-06
251.1837 1.20929e-06 3.31290e-06
257.2857 1.16768e-06 3.12573e-06
263.3878 1.12893e-06 2.95307e-06
269.4898 1.09278e-06 2.79345e-06
275.5918 1.05898e-06 2.64560e-06
281.6939 1.02732e-06 2.50838e-06
287.7959 9.97614e-07 2.38079e-06
293.8980 9.69685e-07 2.26195e-06
300.0000 9.43387e-07 2.15107e-06
